内容,时间,分词,情感分值,情感类型
嫌麻烦就选网课，在寝室挂下视频就行了，不嫌麻烦可以根据自己的兴趣选线下,2023-02-06 10:33,麻烦 选网 寝室 视频 就行了 麻烦 兴趣 选线,0.0703,neg
兄弟我想问问两个学期选四门线上可以吗，还是必须要两门线上两门线下的,2023-02-16 08:42,兄弟 问问 两个 学期 四门 线上 两门 线上 两门 线下,0.2663,neg
请问各位吧友，在咱们学校附近开个水果店怎么样？有没有需求，开在哪比较合适#水果##郑州大学##郑大##河南工业大学##美食#,2023-02-13 09:30,请问 学校 开个 水果店 有没有 需求 开在 合适 水果 郑州大学 郑大 河南 工业 大学 美食,0.9836,pos
来菊园开，菊园啥都没有,2023-02-13 10:13,菊园 菊园,0.5791,pos
没有蔬菜水果店一类的吗？生鲜超市啥的？,2023-02-13 11:07,蔬菜水果 一类 生鲜 超市,0.9131,pos
走量很难  基本都在校内买   消费能力有限都是按个买,2023-02-13 13:53,走量 校内 消费 能力 有限 按个,0.0602,neg
需要论文查重，加v：18629678710联系,2023-02-16 19:10,论文 查重,0.8603,pos
想问一下各位学长学姐，生物专业保研有什么要求，有什么硬性条件，有什么加分项，感谢感谢,2023-02-16 16:52,学长 学姐 生物 专业 保研 硬性 条件 分项 感谢 感谢,0.9945,pos
可以接受贴吧负责人加我检查的，要是负责人觉得不妥后面载删除也可以，我的威信JieYouXGZ,2023-02-15 22:41,接受 负责人 检查 负责人 不妥 删除 威信,0.0151,neg
想问一下，郑大现在还是不对外开放吗,2023-02-16 16:15,郑大 对外开放,0.8937,pos
买了个霍格沃茨之遗想耍一耍，结果一打开就闪退，上网上查了说是要更改虚拟内存，然后我就去改，可是死活改不动，一直默认7个g的虚拟内存改不了，也没法删掉，也没法增加，连转移都转移不了，一重启就提示什么未分页啥的，然后就又变成7个g了，我人都麻了，有没有懂的人帮帮我，到底怎么把这nt虚拟内存改了。,2023-02-13 23:20,霍格 沃茨 遗想 一耍 打开 闪退 网上 更改 虚拟内存 死活 改不动 默认 虚拟内存 改不了 没法 删掉 没法 增加 转移 转移 重启 提示 分页 我人 有没有 帮帮我 虚拟内存 改了,0.0017,neg
上面那个小勾我也取消掉了，也把c盘改成未分页了，也在其他盘符设置自定义，一重启***回去了，我都快麻了，求求来个懂哥帮帮我吧。,2023-02-13 23:22,取消 改成 分页 盘符 设置 自定义 重启 回去 求求 来个 懂哥 帮帮我,0.0205,neg
是不是因为我是麻瓜，没有资格学魔法?,2023-02-13 23:24,麻瓜 资格 魔法,0.7089,pos
你多少内存 16g？ 听说这游戏得至少32g才流畅,2023-02-13 23:51,内存 听说 游戏 至少 流畅,0.9293,pos
图图呢,2023-02-14 08:11,图图,0.6669,pos
对不起，做不到,2023-02-14 08:38,对不起 不到,0.0411,neg
按网上的改就行，我改了32g虚拟内存没出啥问题,2023-02-14 08:47,网上 改就行 虚拟内存 没出,0.0663,neg
别按网上的乱搞，先把你电脑的配置发出来看看，好多不懂电脑的人为了热度乱发攻略，误导一众电脑小白,2023-02-14 11:03,网上 乱搞 电脑 配置 发出 好多 电脑 热度 乱发 攻略 误导 一众 电脑 小白,0.012,neg
有没有小伙伴缺少室友的呀，女生，不接受混合宿舍！一个人租房子太贵了，个人爱干净，希望找个室友合租。或者有床位的推荐也可以，谢谢啦,2022-06-16 17:20,有没有 小伙伴 缺少 室友 女生 接受 混合 宿舍 租房子 太贵 干净 希望 找个 室友 合租 床位 推荐 谢谢,0.2495,neg
咋还未婚 已婚有啥啊,2022-06-16 18:44,未婚 已婚,0.7013,pos
研究生宿舍床位出租，有需要留个联系方式,2022-06-16 19:54,研究生 宿舍 床位 出租 留个 联系方式,0.8203,pos
你想在哪里租，我也在找合租室友，不知道方便不,2022-06-18 13:52,合租 室友,0.3005,neg
出租郑州大学家属院一楼,2022-06-18 19:41,出租 郑州大学 家属院 一楼,0.8303,pos
荷园商业街旺铺出租，13838350679,2022-09-28 12:08,荷园 商业街 旺铺 出租,0.6106,pos
转租郑大、工大旁谦祥·万和城B区单间。月租280元，水费均摊，电费自负，网费免费，四面实体墙，合租户安静不闹，有大窗，12平，还有6个月到期(可提前搬离)，有意者电联:130-6959-0535。,2023-02-08 12:22,转租 郑大 工大 旁谦祥 万和城 单间 月租 水费 均摊 电费 自负 网费 免费 四面 实体墙 合租 安静 不闹 有大窗 到期 提前 搬离 有意者 电联,0.8789,pos
郑大东门翰林国际城，考研房，现空余一间主卧带阳台的房间，中间楼层，采光很好。室友是在小区北门对面的自习室学习，都很安静。有无线网，有厨房能做饭。需要的加我微15638193310,2023-02-08 15:53,郑大 东门 翰林 国际 考研 空余 一间 主卧 阳台 房间 楼层 采光 室友 小区 北门 对面 自习室 学习 安静 无线网 厨房 做饭,0.9451,pos
万和城转租，280一个月，13069590535,2023-02-16 13:50,万和城 转租 一个月,0.4443,pos
我微积分1重修，问问题型,2023-02-16 13:33,微积分 重修,0.8502,pos
微信 qq同号:18639663552,2023-02-16 12:51,微信 同号,0.8735,pos
最快两天就能出票，比自己购买要便宜,2023-02-16 11:26,最快 两天 出票 购买 便宜,0.9689,pos
有考研保研问题欢迎咨询,2023-02-16 10:26,考研 保研 咨询,0.9095,pos
以后想搞大数据分析，想知道研究生应用数学哪个二级学科是研究这方面的,2023-01-15 02:21,数据分析 研究生 数学 二级 学科 研究 这方面,0.6364,pos
有个河南大数据研究院,2023-01-15 08:08,有个 河南 数据 研究院,0.7274,pos
河南大数据研究院,2023-01-15 08:10,河南 数据 研究院,0.7072,pos
打扰了，出租次卧，自己房子，无中介费，郑州大学家属院，视野好，采光好，地铁口，盛和苑西门过马路就到郑州大学！拎包入住！24小时热水，空调家具家电齐全…wifi免费！15903627898  ，谢谢,2023-02-16 09:21,打扰 出租 房子 中介费 郑州大学 家属院 视野 采光 地铁口 盛和苑 西门 马路 郑州大学 拎包 入住 小时 热水 空调 家具 家电 齐全 免费 谢谢,0.9775,pos
申请外宿,2022-08-16 15:20,申请 外宿,0.6913,pos
疫情期间不可以了,2022-08-22 22:47,疫情 期间,0.5137,pos
有没有出租校内宿舍床位的,2023-02-15 11:02,有没有 出租 校内 宿舍 床位,0.7689,pos
打扰了，出租次卧，自己房子，无中介费，郑州大学家属院，视野好，采光好，地铁口，盛和苑西门过马路就到郑州大学！拎包入住！24小时热水，空调家具家电齐全…wifi免费！15903627898  ，谢谢,2023-02-16 09:19,打扰 出租 房子 中介费 郑州大学 家属院 视野 采光 地铁口 盛和苑 西门 马路 郑州大学 拎包 入住 小时 热水 空调 家具 家电 齐全 免费 谢谢,0.9775,pos
还差40经验到10级。怎么才能快速升级,2023-02-15 18:07,经验 快速 升级,0.6134,pos
想水直说,2023-02-15 18:45,想水 直说,0.2154,neg
等我毕业我估计14级了,2023-02-15 19:17,毕业 估计,0.5528,pos
8u们，23考研的鼠鼠想问下电气与信息工程学院的通信工程专硕复试都考哪几本书,2023-02-15 13:40,考研 鼠鼠 问下 电气 信息 工程学院 通信工程 专硕 复试 几本书,0.4035,pos
官网不就一本dsp吗，这是笔试的，剩下面试问的根本没局限，你只能好好复习一下本专业的主干课程。,2023-02-15 18:20,官网 一本 这是 笔试 剩下 面试 局限 只能 好好 复习 专业 主干课程,0.9074,pos
本人眼镜盒遗失，里面有一张绿色的擦镜布和一副黑框眼镜，擦镜布是直通车的，盒子记得没错的话应该是棕色带小熊样子的，以下是可能的地点，如有发现的有现金感谢,2023-02-15 19:58,眼镜盒 遗失 一张 绿色 镜布 一副 黑框 眼镜 镜布 直通车 盒子 记得 没错 棕色 小熊 样子 地点 发现 现金 感谢,0.9904,pos
本人已离校有偿请待办,2023-02-15 10:52,离校 有偿 待办,0.5026,pos
可以私我留联系方式,2023-02-15 21:46,联系方式,0.7085,pos
考研求助，961材料化工专硕复试，是三本书都考吗,2023-02-15 19:58,考研 求助 材料 化工 专硕 复试 本书,0.2337,neg
召～兼～职---没有任何套路/～空闲时间来做就可以～赚点✘生活费！不求人，靠自己,2023-02-15 18:52,套路 空闲 时间 赚点 生活费 不求人,0.0227,neg
郑大新校区这边网球场对外开放吗？怎么进去？,2023-02-04 19:03,郑大新 校区 网球场 对外开放,0.9801,pos
对学生都不公开,2023-02-05 08:37,学生 公开,0.4172,pos
郑大怎么进去,2023-02-05 10:45,郑大,0.7038,pos
有，围栏钻进去,2023-02-15 17:36,围栏 钻进去,0.6173,pos
或者学校周边有没有,2023-02-15 16:24,学校 周边 有没有,0.5971,pos
请问：郑大图书馆对外开放吗？我住师新庄，想借点书，请问我怎样可以借到？麻烦大家支支招，感谢！,2023-01-02 12:13,请问 郑大 图书馆 对外开放 新庄 借点 请问 麻烦 支招 感谢,0.7948,pos
不对外,2023-01-02 14:51,对外,0.6925,pos
找个本校的人帮你借,2023-01-08 19:25,找个 本校,0.5202,pos
私信，我带你进去，不忽悠，我只想找个朋友，缓解备考之苦,2023-02-03 21:40,私信 忽悠 找个 朋友 缓解 备考 之苦,0.2189,neg
俺想问你你们那里有充电桩吗？俺们这里不好充电想去那充，借书只能找本校的帮忙借,2023-02-14 23:10,充电 不好 充电 那充 借书 只能 本校 帮忙,0.0119,neg
这个我怎么进不去,2023-02-14 09:14,进不去,0.0947,neg
这里找学长学姐一个是不容易，还有一个不知道真假万一被骗了不划算，之前我身边就有人买资料被骗了几百，而且含金量不高，虽然钱不多，但是影响复习心情，如果家里条件还可以，家人也支持报班，可以考虑报个一对一辅导，有人监督靠谱一点，这样不仅可以知道重难点，还可以获取到资料，平时还可以答疑解惑，比自己摸索好很多，节约复习时间，更多的精力可以用在复习薄弱科目上面，我当时报的就是一对一，安排的是直系高分学姐一对一指导的，上课前看证件，真题资料都是学姐给我邮寄过来的，性价比挺高的，因为跨城市考，距离目标学校有点远，就上了直播一对一，还可以回放，上课也有重难点，平时也有班主任督学，对于公共课当时除了分享视频给我，还送了公共课资料和刷题题库，像政治主流老师的押题都有，英语也有真题和长难句分析，用起来很好，我当时报的是浩学考研，你也可以百度去他们官网了解。,2023-02-15 10:23,学长 学姐 真假 不划算 身边 有人 资料 几百 含金量 不高 影响 复习 心情 家里 条件 家人 支持 报班 报个 一对一 辅导 有人 监督 一点 重难点 获取 资料 平时 答疑 解惑 摸索 节约 复习 时间 精力 复习 薄弱 科目 一对一 安排 直系 高分 学姐 一对一 指导 上课 证件 真题 资料 学姐 邮寄 性价比 城市 距离 目标 学校 直播 一对一 回放 上课 重难点 平时 班主任 督学 公共课 分享 视频 公共课 资料 刷题 题库 政治 主流 老师 押题 英语 真题 难句 分析 浩学 考研 百度 官网,0.9963,pos
本🐭大一新生，选了一个营销策划，有不有热心8u告诉我这门课好不好过呀。,2023-02-08 22:42,大一 新生 营销策划 热心 告诉 这门 好不好,0.3246,neg
没选过，但是帮顶,2023-02-08 23:24,没选过 帮顶,0.6468,pos
给🐭🐭来个吧🥰🥰🥰,2022-07-14 20:33,来个,0.6702,pos
郑兵令,2022-07-14 22:39,郑兵令,0.6105,pos
喜欢我言指导🎓吗？,2022-07-15 11:43,喜欢 我言 指导,0.9878,pos
散兵游勇罢了,2022-07-15 12:33,散兵游勇,0.6187,pos
并不是不想要，只是拿不出手,2022-07-15 18:54,想要 拿不出手,0.2921,neg
原耽，你为什么这么好看！！原耽，你为什么这么好看！！原耽，你为什么这么好看！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！原耽，你为什么这么好看！！原耽，你为什么这么好看！！原耽，你为什么这么好看！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！去吗？去啊！这自由美利坚！啊啊啊啊啊！美国！肖战侮辱丁真老藏民，还说他爸卖电子烟的，给丁真骂哭了，于是他们俩打赌，转发这条文字给十个吧，肖战就给丁真道歉正确的，会谢的，栓Q的，yyds的，暴风吸入的，绝绝子的，属于是的，剁jiojio的，乌鱼子的，集美的，咱就是说的，退退退的别急的，抛开事实不谈的，9敏的QQ真的是太奇妙了，我忘了了我的身份证户口啥的，随便找了几个网络群就骂，然后满屏都飘着我的身份证户口信息。太谢谢QQ了，真的是太方便了就算再多人嘲笑，我也喜欢原神，啊啊啊啊啊啊玩我的原神！原神主宰世界万物！啊啊啊啊啊啊啊啊啊我的原神我的原神啊啊啊我的原神！！原神！！原神！！！！就算再多人嘲笑，我也喜欢原神，啊啊啊啊啊啊玩我的原神！原神主宰世界万物！啊啊啊啊啊啊啊啊啊我的原神我的原神啊啊啊我的原神！！原神！！原神！！！！就算再多人嘲笑，我也喜欢原神，啊啊啊啊啊啊玩我的原神！原神主宰世界万物！啊啊啊啊啊啊啊啊啊我的原神我的原神啊啊啊我的原神！！原神！！原神！！！！,2022-07-15 20:13,原耽 好看 原耽 好看 原耽 好看 原神 好玩 原神 好玩 原神 好玩 原神 好玩 原耽 好看 原耽 好看 原耽 好看 原神 好玩 原神 好玩 原神 好玩 自由 美利坚 啊啊啊 美国 肖战 侮辱 丁真 藏民 电子 丁真 打赌 转发 文字 十个 肖战 丁真 道歉 正确 会谢 暴风 吸入 绝绝子 乌鱼子 集美 退退 别急 抛开 事实 不谈 真的 奇妙 身份证 户口 随便 几个 网络 满屏 身份证 户口 信息 谢谢 真的 嘲笑 喜欢 原神 啊啊啊 啊啊啊 原神 原神 主宰世界 万物 啊啊啊 啊啊啊 啊啊啊 原神 原神 啊啊啊 原神 原神 原神 嘲笑 喜欢 原神 啊啊啊 啊啊啊 原神 原神 主宰世界 万物 啊啊啊 啊啊啊 啊啊啊 原神 原神 啊啊啊 原神 原神 原神 嘲笑 喜欢 原神 啊啊啊 啊啊啊 原神 原神 主宰世界 万物 啊啊啊 啊啊啊 啊啊啊 原神 原神 啊啊啊 原神 原神 原神,0.9975,pos
我这才是原创第一郑兵证，再偷必纠！,2022-07-27 15:15,原创 第一 郑兵证 偷必,0.9327,pos
急死了,2023-02-12 16:50,急死了,0.0871,neg
签了富士康菁干班的同学来聊一聊吧,2015-11-14 12:14,签了 富士康 干班 同学 来聊 一聊,0.48,pos
楼主是通过校园招聘进的富士康吗？,2015-11-14 16:17,楼主 校园 招聘 富士康,0.8606,pos
后悔了没有？楼主？,2015-11-14 16:21,后悔 楼主,0.5421,pos
同学，还在富士康吗？,2023-02-15 11:01,同学 富士康,0.3135,neg
有没有姐妹一起打九价的！,2023-02-15 10:56,有没有 姐妹 打九价,0.22,neg
大佬们，有木有知道中兵通信科技股份有限公司的啊，研究生待遇怎么样啊，求解答,2020-01-01 16:24,大佬 有木有 中兵 通信 科技股份 有限公司 研究生 待遇 解答,0.3177,neg
求助大佬,2020-01-01 16:25,求助 大佬,0.2877,neg
同求，而且想问这个是不是国企？,2020-02-27 16:01,同求 国企,0.0908,neg
楼主签了吗,2020-05-13 20:25,楼主,0.9123,pos
你们看的是新乡总部，还是北分，武分的？,2020-06-17 19:23,新乡 总部 北分 武分,0.572,pos
中兵红箭分公司吧。卖卡车和军火的,2020-08-19 13:15,中兵 红箭 分公司 卡车 军火,0.4631,pos
因为疫情原因，得三方协议去就业指导中心盖章签字，有偿，私信我,2022-09-21 18:02,疫情 原因 三方 协议 就业指导 中心 盖章 签字 有偿 私信,0.8609,pos
哥们看下私信,2023-02-15 10:50,哥们 私信,0.9817,pos
各位大佬，带带,2023-02-13 23:35,大佬 带带,0.7127,pos
我同学说可能我得重修了😭😭😭,2023-02-14 13:10,同学 重修,0.7037,pos
一直没关注过，今天突然发现别人都是九十多分,2023-02-14 13:13,关注 发现 九十多,0.6785,pos
如果平时分按0.4算，期末考93分才能过70,2023-02-14 13:15,平时 期末考,0.8689,pos
如果没考到93是不是真的要挂，甚至重修了？,2023-02-14 13:17,没考 真的 重修,0.5645,pos
嗯嗯，平时分70倒数最后期末60多飘过,2023-02-14 14:49,平时 倒数 期末 飘过,0.4023,pos
不是60分及格吗,2023-02-14 18:53,及格,0.3191,neg
学习通占比不高,2023-02-14 19:17,学习 通占 比不高,0.1354,neg
确实会,2023-02-14 21:11,确实,0.5207,pos
老师会捞你的,2023-02-15 08:51,老师 会捞,0.7262,pos
学校真的太无聊了,2021-11-26 20:27,学校 真的 无聊,0.024,neg
马哥没人回帖啊,2021-11-28 01:29,马哥 没人 回帖,0.109,neg
翻墙随便出,2022-10-19 16:55,翻墙 随便,0.3851,pos
幻想辣?,2022-10-19 18:46,幻想,0.2687,neg
现在扫码随便出校,2023-02-14 19:50,扫码 随便,0.3031,neg
随便出,2023-02-15 09:33,随便,0.2242,neg
今天上课老师说他是管我们院毕业证的 说我们院每届都有差不多十个人没有毕业证 按照绩点综合排名的话我就是最后的那十个 现在慌得一批 我该怎么办啊😭,2023-02-14 08:24,上课 老师 毕业证 每届 十个 毕业证 绩点 综合排名 十个 慌得 一批 我该,0.1518,neg
我记得2.2以下，没有学位证吧,2023-02-14 08:54,记得 学位证,0.7489,pos
哈人,2023-02-14 13:07,哈人,0.7936,pos
22届学长现身说法，是老师吓唬你的，我们学校不是末尾淘汰制，最后毕业证书和学位证拿到的条件是绩点2.0以上，且毕业挂科记录全清，我计算机院最后绩点2.1，专业倒数十名里面照样毕业,2023-02-14 13:47,学长 现身说法 老师 吓唬 学校 末尾 淘汰制 毕业证书 学位证 拿到 条件 绩点 毕业 挂科 记录 全清 计算机 绩点 专业 数十名 照样 毕业,0.9895,pos
毕业证基本上正常毕业都有，学位证这个就需要你最后毕业绩点到2.0了，还有就是平时的学校校选修院选修一定要早修够，我有的同学因为校选修院选修没满最后一学期又修了一门，但是毕业证学位证第一批发的时间是六月份，这个时候你的校选修院选修成绩是没出来的，因此不满足毕业条件，得等到八月份出成绩才能拿毕业证,2023-02-14 13:50,毕业证 毕业 学位证 业绩 点到 平时 学校 选修 选修 修够 同学 选修 选修 学期 一门 毕业证 学位证 第一批 时间 六月份 选修 选修 成绩 毕业 条件 八月份 成绩 毕业证,0.9119,pos
你这绩点这么低，别刷贴吧了，赶紧好好学吧,2023-02-14 20:31,这绩 别刷 赶紧 好好学,0.5519,pos
13年老学渣特来求助，学位证和档案里的学位证明都有，但是学信网查不到学位认证报告，只有学历认证，打电话给学校档案馆，说是因为教务处没有上传学位信息，让给教务处打电话，但是从去年开始打教务处电话，一直都是正在通话中，但是上午过了11点半，下午过了5点打都是滴滴滴无人接听，非常准时。有没有同学和我一样学信网查不到学位的情况，或者可以联系到教务处的方式？,2023-02-14 21:43,年老 学渣 特来 求助 学位证 档案 学位 证明 学信网 查不到 学位 认证 报告 学历 认证 打电话 学校 档案馆 是因为 教务处 上传 学位 信息 让给 教务处 打电话 去年 教务处 电话 通话 上午 点半 下午 滴滴 无人 接听 准时 有没有 同学 学信网 查不到 学位 情况 教务处 方式,0.009,neg
淡季贴吧？打个🦶先,2023-02-14 23:12,淡季 打个,0.7104,pos
社会闲杂人等禁止入内,2023-02-14 09:51,社会 闲杂人等 禁止入,0.7911,pos
能登进打卡系统就随便进,2023-02-14 10:51,能登 打卡 系统 随便,0.3093,neg
想进随便进，，， 不放心的话可以找你同学要个截图，， 根据我的观察进出校装模作样手机扫一下， 保安压根不看屏幕,2023-02-14 18:58,随便 放心 同学 要个 截图 观察 进出 装模作样 手机 保安 压根 不看 屏幕,0.0113,neg
求解答~之前本科的时候不幸挂科了，但是都补考通过，没有进行学位重修。。成绩单我看都是60分，但是不知道档案里是否有挂科或者补考记录。。。,2017-10-17 16:03,解答 本科 不幸 挂科 补考 学位 重修 成绩单 档案 挂科 补考 记录,0.8778,pos
挂科记录就是专门针对你这种情况的，不挂科，或者学位重修过的都没有挂科记录,2017-10-17 16:06,挂科 记录 情况 不挂科 学位 重修 挂科 记录,0.4504,pos
最后的成绩单都显示挂科情况的,2017-10-18 07:52,成绩单 显示 挂科 情况,0.4001,pos
会显示一个补考的,2017-10-18 09:41,显示 补考,0.4335,pos
只有一次性考过才不会有挂科记录，，其余的都有。挂了就是挂了。除非潜规则。,2018-07-17 23:33,一次性 考过 挂科 记录 潜规则,0.0808,neg
档案会记录挂科？？？头一次听说，是不是点名没到也会存在档案里？？？？,2018-12-08 16:24,档案 记录 挂科 听说 点名 没到 档案,0.216,neg
每学期都有一次补考机会的，过了就不会写在档案里。若是没过就是毕业前补考，是会写进档案里的,2019-09-08 23:50,每学期 补考 机会 档案 没过 毕业 补考 档案,0.8268,pos
重修在档案里，挂的那门会把挂科的成绩，重修的成绩都登记上,2019-09-09 10:01,重修 档案 那门会 挂科 成绩 重修 成绩 登记,0.9684,pos
保研评奖会有影响 能查到 出了校门啥也查不到 没影响,2019-09-09 12:56,保研 评奖 影响 能查 校门 查不到 影响,0.0185,neg
22年6月延毕后离校的，我的一门去年12月的重修过了，计划已经通过了，请问毕业证还需要等到8月吗？这个学期能申请毕业证吗？,2023-02-14 17:33,月延 毕后 离校 一门 去年 重修 计划 请问 毕业证 学期 申请 毕业证,0.1172,neg
有无上岸地理学的师兄师姐，想请教下,2023-02-14 16:59,有无 上岸 地理学 师兄 师姐 请教,0.3985,pos
学校还能进车吗,2023-02-14 16:49,学校 进车,0.7397,pos
有合适的房源么，求推荐,2023-02-12 10:58,合适 房源 推荐,0.9949,pos
我不打算住了，单间，中苑名都,2023-02-14 16:44,打算 单间 中苑,0.7502,pos
需要的联系150831177897 我就是房东。,2023-02-14 16:44,房东,0.745,pos
北校区附近有什么好吃的比较多的地方吗？急急急,2023-02-14 16:37,北校区 好吃 地方 急急,0.9813,pos
想去郑州大西校区里边转转。让进不让？,2023-02-14 16:30,郑州 西校区 里边 转转 不让,0.4209,pos
想去学校操场跑步,2023-01-09 11:11,学校 操场 跑步,0.7256,pos
同问,2023-01-09 12:02,同问,0.5285,pos
恐怕不行，你专的管理一向滞后,2023-01-11 11:25,不行 管理 一向 滞后,0.0067,neg
私信，我带你进去，不忽悠，我只想找个朋友，缓解备考之苦,2023-02-03 21:35,私信 忽悠 找个 朋友 缓解 备考 之苦,0.2189,neg
咱们学校有跑腿代办的团体或个人吗（查收查引业务）？推荐一下，谢谢！,2023-02-14 16:07,学校 跑腿 代办 团体 查收 查引 业务 推荐 谢谢,0.9816,pos
帮老师跑腿，明天找一个来主校区行政楼报账的人，最好号排在前面的，让咱蹭个方便。主要是网上约不到，北校区的也不想跑了，白跑好几天了。,2023-02-14 15:28,老师 跑腿 明天 来主 校区 行政 报账 号排 咱蹭个 网上 不到 北校区 不想 白跑 几天,0.6062,pos
15年本打算去西藏 尼泊尔地震就只到了大理 现在30岁还一直想去西藏 这算是病吗,2022-12-28 21:11,年本 打算 西藏 尼泊尔 地震 大理 西藏 算是,0.8573,pos
我就不想去，到哪都是吃喝玩乐没啥意思,2023-02-14 13:52,不想 吃喝玩乐 啥意思,0.0279,neg
挺好玩的，确实很美,2023-02-14 15:22,挺好玩 确实,0.9435,pos
本校学生（女），下半年在北校区做实验，有没有闲置宿舍床位借住下，谢谢,2023-02-14 13:40,本校 学生 下半年 北校区 实验 有没有 闲置 宿舍 床位 借住 谢谢,0.9406,pos
2022年考研生法律专硕（非法学）想知道专科郑大歧视吗？,2021-10-25 03:27,考研 法律 专硕 非法 专科 郑大 歧视,0.0087,neg
#考研自习室15318813551##郑州济南沈阳西安石家庄青岛设有校区##研友多多氛围好##可线下寄宿复习也有新增线上全程督导辅导#,2021-10-25 06:08,考研 自习室 郑州 济南 沈阳 西安 石家庄 青岛 设有 校区 研友 氛围 线下 寄宿 复习 新增 线上 全程 督导 辅导,0.9981,pos
今年高三，走体育类专业，往届理科要达到多少分呀,2021-03-15 11:23,高三 体育类 专业 往届 理科,0.9958,pos
有需要的同学可以V我18395628055，价格优惠,2023-02-14 10:46,同学 价格 优惠,0.6998,pos
会不会是生科院,2023-02-13 20:51,生科院,0.6105,pos
直接扔，别惯着,2023-02-13 16:49,别惯,0.3801,pos
25都开始了，真卷啊,2023-02-13 17:24,真卷,0.5223,pos
哈人,2023-02-13 19:27,哈人,0.7936,pos
错误的，是已延顶真，鉴定为25考研捏,2023-02-13 20:35,错误 已延 顶真 鉴定 考研,0.0945,neg
南校区的老师想过去打打乒乓球，是否需要办卡或者预约？各位同学平时打乒乓球都在哪里打？,2023-02-12 13:49,南校区 老师 打乒乓球 办卡 预约 同学 平时 打乒乓球,0.4573,pos
主校区宿舍门口就有很多乒乓球台,2023-02-12 14:13,校区 宿舍 门口 乒乓球台,0.9261,pos
老师好,2023-02-12 14:13,老师,0.8488,pos
去市区里面的俱乐部吧,2023-02-12 15:05,市区 俱乐部,0.4487,pos
主校区打乒乓球的地方大概有3类。1.北体育馆，疫情之前是周六开放我记得，后来好像不对外开放了？我也不清楚2.有些院自己的楼里买的有乒乓球桌，可以在院里打3.住宿区室外的乒乓球台，这个需要经常捡球，台子也不太舒服，不过比较方便。,2023-02-12 16:00,校区 打乒乓球 地方 体育馆 疫情 周六 开放 记得 好像 对外开放 楼里 乒乓球桌 院里 住宿 室外 乒乓球台 捡球 台子 舒服,0.9887,pos
帮表姐买一台笔记本电脑，预算两千以内，谁有二手笔记本想出的吗,2023-02-14 02:38,表姐 一台 笔记本电脑 预算 两千 以内 二手 笔记本 想出,0.9277,pos
大二狗 感觉一辈子谈不了恋爱了,2023-02-11 03:51,大二 感觉 一辈子 恋爱,0.9496,pos
打个🦶,2023-02-11 06:11,打个,0.3501,pos
不谈就不谈呗 没啥大不了的,2023-02-11 08:20,不谈 不谈,0.0904,neg
没事的，没有了也很可爱,2023-02-11 09:57,没事 可爱,0.9832,pos
过来人：抓住机会，你可以的,2023-02-11 10:19,过来人 抓住机会,0.8895,pos
大四你就明白了，还真是,2023-02-11 17:58,大四 明白,0.407,pos
打个郊县,2023-02-13 23:46,打个 郊县,0.3689,pos
开学了又要为生活费发愁了,2023-02-13 23:40,开学 生活费 发愁,0.7577,pos
我早上自行车放外语学院附近，下课我去看就没了。,2023-02-13 12:18,早上 自行车 外语学院 下课,0.306,neg
我同班同学的自行车昨天让偷了,2023-02-13 12:55,同班同学 自行车 昨天,0.6592,pos
林子大了什么鸟都有,2023-02-13 14:04,林子,0.5103,pos
没封之前一直都有人偷东西。只是这几年一直在封校，校外人员进不来，被偷的少了。之前还有人电脑（记不清是电脑还是平板了）在水环被偷了。,2023-02-13 19:27,没封 有人 偷东西 几年 封校 校外 人员 进不来 电脑 记不清 电脑 平板 水环,0.059,neg
有啊，我大一在南操上体育课，然后去柳园吃饭，但是车忘记🔒了，一回来就被塞拉斯了,2023-02-13 19:29,我大一 南操 体育课 柳园 吃饭 忘记 回来 塞拉斯,0.6058,pos
两年前就被偷了,2023-02-13 19:32,两年,0.6377,pos
没人？淡季贴吧？,2022-10-16 00:05,淡季,0.8796,pos
打个🦶先,2022-10-16 00:05,打个,0.3501,pos
孩子锁寝室太无聊了，有没有人来聊聊天,2022-10-16 00:07,孩子 寝室 无聊 有没有 人来 聊聊天,0.2391,neg
🐭🐭先睡了，明天还要给同学搬隔离餐呢,2022-10-16 00:10,先睡 明天 同学 隔离,0.6271,pos
不是不让养吗,2022-10-16 22:55,不让,0.1999,neg
有，宿舍其他人养了🐭🐭我,2022-10-16 23:48,宿舍 其他人,0.4037,pos
不用交电费,2022-10-25 14:32,不用 电费,0.5684,pos
寝室准备等解封了就养一只仓鼠捏,2022-10-25 16:22,寝室 解封 一只 仓鼠,0.9323,pos
养了个室友,2022-10-26 11:13,室友,0.4483,pos
养了几个舍友,2022-10-27 09:03,几个 舍友,0.7391,pos
怎么没人水,2023-02-11 09:44,没人水,0.2836,neg
别怕 培养的就是高素质废物,2023-02-11 10:22,别怕 培养 高素质 废物,0.0914,neg
